ふりがな,エピソード,名前,アイドルタイプ,ドミナントアイドルタイプ,マイスタイル,レア度,特技レベル,レベル,親愛度,ボーカル,ダンス,ビジュアル,ライフ,ボイス,ソロ,入手枠,登録日,センター効果,センター効果説明,特技,特技説明
いちはらにな,［Snow＊Love］市原仁奈＋,市原仁奈,パッション,非該当,FALSE,Ｓレア＋,10,70,300,3992,3284,6168,39,TRUE,FALSE,イベント,'2020年12月20日',パッションプリンセス,パッションアイドルのみ編成時、全員の全アピール値35%アップ,パッションフォーカス,パッションアイドルのみ編成時、11秒毎、高確率でしばらくの間、PERFECTのスコア14%アップ、COMBOボーナス11%アップ
きたみゆず,［Spring Screaming］喜多見柚＋,喜多見柚,パッション,非該当,FALSE,Ｓレア＋,10,70,300,3318,4011,6125,39,TRUE,FALSE,イベント,'2018年4月19日',トリコロール・メイク,3タイプ全てのアイドル編成時、全員のビジュアルアピール値80%アップ,ライフスパークル,9秒毎、高確率で少しの間、ライフ値が多いほどCOMBOボーナスアップ
りゅうざきかおる,［Spring Screaming］龍崎薫＋,龍崎薫,パッション,非該当,FALSE,Ｓレア＋,10,70,300,2929,5832,3619,39,TRUE,FALSE,イベント,'2018年4月19日',パッションステップ,パッションアイドルのダンスアピール値60%アップ,コンセントレーション,13秒毎、高確率でかなりの間、PERFECTのスコア19%アップ、PERFECT判定される時間が短くなる
しまむらうづき,［Stage Bye Stage］島村卯月＋,島村卯月,キュート,非該当,FALSE,Ｓレア＋,10,70,300,4011,3318,6125,39,TRUE,FALSE,イベント,'2019年7月2日',トリコロール・メイク,3タイプ全てのアイドル編成時、全員のビジュアルアピール値80%アップ,ライフスパークル,11秒毎、高確率でしばらくの間、ライフ値が多いほどCOMBOボーナスアップ
ほんだみお,［Stage Bye Stage］本田未央＋,本田未央,パッション,非該当,FALSE,Ｓレア＋,10,70,300,4518,3998,4087,86,TRUE,FALSE,イベント,'2019年7月2日',パッションエナジー,パッションアイドルのライフ20%アップ,ライフ回復,7秒毎、高確率で一瞬の間、PERFECTでライフ3回復
みふねみゆ,［Starry Night］三船美優＋,三船美優,クール,非該当,FALSE,Ｓレア＋,10,70,300,6181,3992,3267,39,TRUE,FALSE,イベント,'2023年2月27日',クールボイス,クールアイドルのボーカルアピール値60%アップ,コーディネイト,11秒毎、高確率でしばらくの間、PERFECTのスコア8%アップ、COMBOボーナス12%アップ
まつながりょう,［Starry Night］松永涼＋,松永涼,クール,非該当,FALSE,Ｓレア＋,10,70,300,6176,3986,3278,39,TRUE,FALSE,イベント,'2023年2月27日',クールプリンセス,クールアイドルのみ編成時、全員の全アピール値35%アップ,クールフォーカス,クールアイドルのみ編成時、9秒毎、高確率で少しの間、PERFECTのスコア14%アップ、COMBOボーナス11%アップ
まえかわみく,［Starry-Go-Round］前川みく＋,前川みく,キュート,非該当,FALSE,Ｓレア＋,10,70,300,3612,5844,2917,39,TRUE,FALSE,イベント,'2018年10月31日',キュートステップ,キュートアイドルのダンスアピール値60%アップ,コンセントレーション,7秒毎、高確率でわずかな間、PERFECTのスコア19%アップ、PERFECT判定される時間が短くなる
おおつきゆい,［Starry-Go-Round］大槻唯＋,大槻唯,パッション,非該当,FALSE,Ｓレア＋,10,70,300,4011,3318,6125,39,TRUE,FALSE,イベント,'2018年10月31日',トリコロール・メイク,3タイプ全てのアイドル編成時、全員のビジュアルアピール値80%アップ,ライフスパークル,13秒毎、高確率でかなりの間、ライフ値が多いほどCOMBOボーナスアップ
しぶやりん,［STORY］渋谷凛＋,渋谷凛,クール,非該当,FALSE,Ｓレア＋,10,70,300,3293,3984,6097,39,TRUE,FALSE,イベント,'2016年9月30日',クールメイク,クールアイドルのビジュアルアピール値60%アップ,COMBOボーナス,9秒毎、高確率で少しの間、COMBOボーナス14%アップ
ほんだみお,［STORY］本田未央＋,本田未央,パッション,非該当,FALSE,Ｓレア＋,10,70,300,2918,5784,3602,39,TRUE,FALSE,イベント,'2016年9月30日',パッションステップ,パッションアイドルのダンスアピール値60%アップ,SCOREボーナス,7秒毎、高確率でわずかな間、PERFECTのスコア15%アップ
もろぼしきらり,［SUN♡FLOWER］諸星きらり＋,諸星きらり,パッション,非該当,FALSE,Ｓレア＋,10,70,300,6125,4011,3318,39,TRUE,FALSE,イベント,'2018年7月19日',トリコロール・ボイス,3タイプ全てのアイドル編成時、全員のボーカルアピール値80%アップ,ライフスパークル,9秒毎、高確率で少しの間、ライフ値が多いほどCOMBOボーナスアップ
じょうがさきみか,［SUN♡FLOWER］城ヶ崎美嘉＋,城ヶ崎美嘉,パッション,非該当,FALSE,Ｓレア＋,10,70,300,3606,2908,5857,39,TRUE,FALSE,イベント,'2018年7月19日',パッションメイク,パッションアイドルのビジュアルアピール値60%アップ,オーバーロード,9秒毎、中確率でライフを15消費し、しばらくの間PERFECT/GREATのスコア18%アップ、NICE/BADでもCOMBO継続
さじょうゆきみ,［Sun！High！Gold！］佐城雪美＋,佐城雪美,クール,非該当,FALSE,Ｓレア＋,10,70,300,6124,3314,4020,39,TRUE,FALSE,イベント,'2019年11月30日',トリコロール・ボイス,3タイプ全てのアイドル編成時、全員のボーカルアピール値80%アップ,ライフスパークル,11秒毎、高確率でしばらくの間、ライフ値が多いほどCOMBOボーナスアップ
ほんだみお,［Sun！High！Gold！］本田未央＋,本田未央,パッション,非該当,FALSE,Ｓレア＋,10,70,300,5760,3667,2974,39,TRUE,FALSE,イベント,'2019年11月30日',パッションボイス,パッションアイドルのボーカルアピール値60%アップ,コーディネイト,9秒毎、高確率で少しの間、PERFECTのスコア8%アップ、COMBOボーナス12%アップ
よりたよしの,［Sunshine See May］依田芳乃＋,依田芳乃,パッション,非該当,FALSE,Ｓレア＋,10,70,300,6125,3318,4011,39,TRUE,FALSE,イベント,'2018年11月19日',トリコロール・ボイス,3タイプ全てのアイドル編成時、全員のボーカルアピール値80%アップ,ライフスパークル,13秒毎、高確率でかなりの間、ライフ値が多いほどCOMBOボーナスアップ
ふじわらはじめ,［Sunshine See May］藤原肇＋,藤原肇,クール,非該当,FALSE,Ｓレア＋,10,70,300,5755,3657,2989,39,TRUE,FALSE,イベント,'2018年11月19日',クールボイス,クールアイドルのボーカルアピール値60%アップ,オールラウンド,11秒毎、中確率で少しの間、COMBOボーナス10%アップ、PERFECTでライフ1回復
みむらかなこ,［Sweet Witches’ Night］三村かな子＋,三村かな子,キュート,非該当,FALSE,Ｓレア＋,10,70,300,3318,4011,6125,39,TRUE,FALSE,イベント,'2017年1月31日',キュートメイク,キュートアイドルのビジュアルアピール値60%アップ,COMBOボーナス,13秒毎、高確率でかなりの間、COMBOボーナス14%アップ
もりくぼのの,［Sweet Witches’ Night］森久保乃々＋,森久保乃々,クール,非該当,FALSE,Ｓレア＋,10,70,300,2856,5920,3574,39,TRUE,FALSE,イベント,'2017年1月31日',クールステップ,クールアイドルのダンスアピール値60%アップ,オーバーロード,7秒毎、高確率でライフを11消費し、わずかな間PERFECT/GREATのスコア18%アップ、NICE/BADでもCOMBO継続
きたみゆず,［TAKAMARI☆CLIMAXXX！！！！！］喜多見柚＋,喜多見柚,パッション,非該当,FALSE,Ｓレア＋,10,70,300,3297,6151,3997,39,TRUE,FALSE,イベント,'2019年6月21日',トリコロール・ステップ,3タイプ全てのアイドル編成時、全員のダンスアピール値80%アップ,ライフスパークル,11秒毎、高確率でしばらくの間、ライフ値が多いほどCOMBOボーナスアップ
なんじょうひかる,［TAKAMARI☆CLIMAXXX！！！！！］南条光＋,南条光,パッション,非該当,FALSE,Ｓレア＋,10,70,300,5741,2999,3663,39,TRUE,FALSE,イベント,'2019年6月21日',パッションボイス,パッションアイドルのボーカルアピール値60%アップ,コンセントレーション,9秒毎、高確率で少しの間、PERFECTのスコア19%アップ、PERFECT判定される時間が短くなる
よりたよしの,［Take me☆Take you］依田芳乃＋,依田芳乃,パッション,非該当,FALSE,Ｓレア＋,10,70,300,3688,3041,5690,39,TRUE,FALSE,イベント,'2017年7月31日',パッションメイク,パッションアイドルのビジュアルアピール値60%アップ,PERFECTサポート,6秒毎、中確率で一瞬の間、GREAT/NICEをPERFECTにする
まえかわみく,［Take me☆Take you］前川みく＋,前川みく,キュート,非該当,FALSE,Ｓレア＋,10,70,300,6139,3306,4005,39,TRUE,FALSE,イベント,'2017年7月31日',キュートボイス,キュートアイドルのボーカルアピール値60%アップ,COMBOボーナス,7秒毎、中確率で少しの間、COMBOボーナス14%アップ
しいなのりこ,［Teeenage☆Groovin’］椎名法子＋,椎名法子,キュート,非該当,FALSE,Ｓレア＋,10,70,300,6176,3983,3279,39,TRUE,FALSE,イベント,'2023年11月29日',キュート・クロス・パッション,キュートとパッションのアイドル編成時、全員の全アピール値20%アップ、獲得ファン数が8%アップ,スライドアクト,9秒毎、高確率でしばらくの間、PERFECTのスコア8%アップ、スライドアイコンなら32%アップ
むなかたあつみ,［Teeenage☆Groovin’］棟方愛海＋,棟方愛海,キュート,非該当,FALSE,Ｓレア＋,10,70,300,6179,3285,3979,39,TRUE,FALSE,イベント,'2023年11月29日',キュートアビリティ,キュートアイドルの特技発動確率30%アップ,スキルブースト,9秒毎、高確率で少しの間、他アイドルの特技効果を中アップ
あかぎみりあ,［THE VILLAIN’S NIGHT］赤城みりあ＋,赤城みりあ,パッション,非該当,FALSE,Ｓレア＋,10,70,300,3986,3271,6184,39,TRUE,FALSE,イベント,'2020年10月20日',シンデレラチャーム,LIVEクリア時、獲得ファン数が32%アップ,アンコール,15秒毎、中確率でしばらくの間、直前に発動した他アイドルの特技効果を繰り返す
さくらいももか,［THE VILLAIN’S NIGHT］櫻井桃華＋,櫻井桃華,キュート,非該当,FALSE,Ｓレア＋,10,70,300,3270,3993,6179,39,TRUE,FALSE,イベント,'2020年10月20日',キュート・クロス・パッション,キュートとパッションのアイドル編成時、全員の全アピール値20%アップ、獲得ファン数が8%アップ,フリックアクト,7秒毎、高確率で少しの間、PERFECTのスコア8%アップ、フリックアイコンなら32%アップ
いじゅういんめぐみ,［Traveling & you !］伊集院惠＋,伊集院惠,クール,非該当,FALSE,Ｓレア＋,10,70,300,3990,6179,3272,39,FALSE,FALSE,イベント,'2024年5月22日',クールステップ,クールアイドルのダンスアピール値60%アップ,オールラウンド,11秒毎、中確率で少しの間、COMBOボーナス10%アップ、PERFECTでライフ1回復
かみやなお,［Trinity Field］神谷奈緒＋,神谷奈緒,クール,非該当,FALSE,Ｓレア＋,10,70,300,3050,3696,5678,39,TRUE,FALSE,イベント,'2017年11月19日',クールメイク,クールアイドルのビジュアルアピール値60%アップ,コンセントレーション,13秒毎、高確率でかなりの間、PERFECTのスコア19%アップ、PERFECT判定される時間が短くなる
ほうじょうかれん,［Trinity Field］北条加蓮＋,北条加蓮,クール,非該当,FALSE,Ｓレア＋,10,70,300,3339,6100,4023,39,TRUE,FALSE,イベント,'2017年11月19日',クールステップ,クールアイドルのダンスアピール値60%アップ,COMBOボーナス,11秒毎、高確率でしばらくの間、COMBOボーナス14%アップ
あなすたしあ,［TRUE COLORS］アナスタシア＋,アナスタシア,クール,非該当,FALSE,Ｓレア＋,10,70,300,3696,3050,5678,39,TRUE,FALSE,イベント,'2019年8月31日',クールメイク,クールアイドルのビジュアルアピール値60%アップ,コンセントレーション,9秒毎、中確率でしばらくの間、PERFECTのスコア19%アップ、PERFECT判定される時間が短くなる
じょうがさきみか,［TRUE COLORS］城ヶ崎美嘉＋,城ヶ崎美嘉,パッション,非該当,FALSE,Ｓレア＋,10,70,300,6139,4005,3306,39,TRUE,FALSE,イベント,'2019年8月31日',トリコロール・ボイス,3タイプ全てのアイドル編成時、全員のボーカルアピール値80%アップ,ライフスパークル,13秒毎、高確率でかなりの間、ライフ値が多いほどCOMBOボーナスアップ
きたひなこ,［Trust me］喜多日菜子＋,喜多日菜子,パッション,非該当,FALSE,Ｓレア＋,10,70,300,4101,4581,4182,39,TRUE,FALSE,イベント,'2018年12月19日',パッションブリリアンス,パッションアイドルの全アピール値30%アップ,コンセントレーション,13秒毎、高確率でかなりの間、PERFECTのスコア19%アップ、PERFECT判定される時間が短くなる
なんじょうひかる,［Trust me］南条光＋,南条光,パッション,非該当,FALSE,Ｓレア＋,10,70,300,3318,6125,4011,39,TRUE,FALSE,イベント,'2018年12月19日',トリコロール・ステップ,3タイプ全てのアイドル編成時、全員のダンスアピール値80%アップ,ライフスパークル,9秒毎、高確率で少しの間、ライフ値が多いほどCOMBOボーナスアップ
しおみしゅうこ,［Tulip］塩見周子＋,塩見周子,クール,非該当,FALSE,Ｓレア＋,10,70,300,4078,4477,3997,39,TRUE,FALSE,イベント,'2016年1月31日',クールブリリアンス,クールアイドルの全アピール値30%アップ,SCOREボーナス,9秒毎、中確率でしばらくの間、PERFECTのスコア15%アップ
みやもとふれでりか,［Tulip］宮本フレデリカ＋,宮本フレデリカ,キュート,非該当,FALSE,Ｓレア＋,10,70,300,3147,6103,3860,39,TRUE,FALSE,イベント,'2016年1月31日',キュートステップ,キュートアイドルのダンスアピール値60%アップ,COMBOボーナス,11秒毎、中確率でかなりの間、COMBOボーナス14%アップ
じょうがさきみか,［Twin☆くるっ★テール］城ヶ崎美嘉＋,城ヶ崎美嘉,パッション,非該当,FALSE,Ｓレア＋,10,70,300,4565,4604,4804,39,TRUE,FALSE,イベント,'2017年9月20日',パッションブリリアンス,パッションアイドルの全アピール値30%アップ,COMBOボーナス,6秒毎、中確率でわずかな間、COMBOボーナス14%アップ
じょうがさきりか,［Twin☆くるっ★テール］城ヶ崎莉嘉＋,城ヶ崎莉嘉,パッション,非該当,FALSE,Ｓレア＋,10,70,300,5780,3645,2969,39,TRUE,FALSE,イベント,'2017年9月20日',パッションボイス,パッションアイドルのボーカルアピール値60%アップ,コンセントレーション,13秒毎、高確率でかなりの間、PERFECTのスコア19%アップ、PERFECT判定される時間が短くなる
すなづかあきら,［UNIQU3 VOICES！！！］砂塚あきら＋,砂塚あきら,クール,非該当,FALSE,Ｓレア＋,10,70,300,3991,6176,3271,39,TRUE,FALSE,イベント,'2022年9月20日',トリコロール・ステップ,3タイプ全てのアイドル編成時、全員のダンスアピール値80%アップ,オーバーロード,7秒毎、高確率でライフを11消費し、わずかな間PERFECT/GREATのスコア18%アップ、NICE/BADでもCOMBO継続
つじのあかり,［UNIQU3 VOICES！！！］辻野あかり＋,辻野あかり,キュート,非該当,FALSE,Ｓレア＋,10,70,300,3288,6173,3979,39,TRUE,FALSE,イベント,'2022年9月20日',トリコロール・アビリティ,3タイプ全てのアイドル編成時、全員の特技発動確率40%アップ,スキルブースト,11秒毎、高確率でしばらくの間、他アイドルの特技効果を中アップ
かんざきらんこ,［Unlock Starbeat］神崎蘭子＋,神崎蘭子,クール,非該当,FALSE,Ｓレア＋,10,70,300,3991,3279,6168,39,TRUE,FALSE,イベント,'2020年1月31日',トリコロール・メイク,3タイプ全てのアイドル編成時、全員のビジュアルアピール値80%アップ,スキルブースト,7秒毎、高確率でわずかな間、他アイドルの特技効果を中アップ
しらゆきちよ,［Unlock Starbeat］白雪千夜＋,白雪千夜,キュート,非該当,FALSE,Ｓレア＋,10,70,300,2902,5862,3606,39,TRUE,FALSE,イベント,'2020年1月31日',キュートステップ,キュートアイドルのダンスアピール値60%アップ,オールラウンド,5秒毎、高確率で一瞬の間、COMBOボーナス10%アップ、PERFECTでライフ1回復
おがたちえり,［Vast world］緒方智絵里＋,緒方智絵里,キュート,非該当,FALSE,Ｓレア＋,10,70,300,3062,3702,5664,39,TRUE,FALSE,イベント,'2018年4月2日',キュートメイク,キュートアイドルのビジュアルアピール値60%アップ,コンセントレーション,9秒毎、中確率でしばらくの間、PERFECTのスコア19%アップ、PERFECT判定される時間が短くなる
しらさかこうめ,［Vast world］白坂小梅＋,白坂小梅,クール,非該当,FALSE,Ｓレア＋,10,70,300,6139,4005,3306,39,TRUE,FALSE,イベント,'2018年4月2日',トリコロール・ボイス,3タイプ全てのアイドル編成時、全員のボーカルアピール値80%アップ,ライフスパークル,13秒毎、高確率でかなりの間、ライフ値が多いほどCOMBOボーナスアップ
むかいたくみ,［Virgin Love］向井拓海＋,向井拓海,パッション,非該当,FALSE,Ｓレア＋,10,70,300,4017,6114,3327,39,TRUE,FALSE,イベント,'2018年5月31日',トリコロール・ステップ,3タイプ全てのアイドル編成時、全員のダンスアピール値80%アップ,ライフスパークル,13秒毎、高確率でかなりの間、ライフ値が多いほどCOMBOボーナスアップ
ふじもとりな,［Virgin Love］藤本里奈＋,藤本里奈,キュート,非該当,FALSE,Ｓレア＋,10,70,300,5767,3651,2980,39,TRUE,FALSE,イベント,'2018年5月31日',キュートボイス,キュートアイドルのボーカルアピール値60%アップ,コンセントレーション,11秒毎、高確率でしばらくの間、PERFECTのスコア19%アップ、PERFECT判定される時間が短くなる
しおみしゅうこ,［VOY@GER］塩見周子＋,塩見周子,クール,非該当,FALSE,Ｓレア＋,10,70,300,3268,3995,6176,39,TRUE,FALSE,イベント,'2021年12月19日',クールアビリティ,クールアイドルの特技発動確率30%アップ,スキルブースト,9秒毎、高確率で少しの間、他アイドルの特技効果を中アップ
ひさかわはやて,［VOY@GER］久川颯＋,久川颯,クール,非該当,FALSE,Ｓレア＋,10,70,300,3976,3290,6174,39,TRUE,FALSE,イベント,'2021年12月19日',クールプリンセス,クールアイドルのみ編成時、全員の全アピール値35%アップ,クールフォーカス,クールアイドルのみ編成時、9秒毎、高確率で少しの間、PERFECTのスコア14%アップ、COMBOボーナス11%アップ
いぶさんたくろーす,［We wish your smile］イヴ・サンタクロース＋,イヴ・サンタクロース,パッション,非該当,FALSE,Ｓレア＋,10,70,300,3984,3284,6173,39,TRUE,FALSE,イベント,'2024年11月29日',パッション・クロス・クール,パッションとクールのアイドル編成時、全員の全アピール値20%アップ、全員のライフ15%アップ,コンセントレーション,11秒毎、高確率でしばらくの間、PERFECTのスコア19%アップ、PERFECT判定される時間が短くなる
もちづきひじり,［We wish your smile］望月聖＋,望月聖,クール,非該当,FALSE,Ｓレア＋,10,70,300,3271,3981,6187,39,TRUE,FALSE,イベント,'2024年11月29日',クール・クロス・パッション,クールとパッションのアイドル編成時、全員の全アピール値20%アップ、全員の特技発動率25%アップ,オーバーロード,9秒毎、中確率でライフを15消費し、しばらくの間PERFECT/GREATのスコア18%アップ、NICE/BADでもCOMBO継続
こばやかわさえ,［White again］小早川紗枝＋,小早川紗枝,キュート,非該当,FALSE,Ｓレア＋,10,70,300,6175,3263,4004,39,TRUE,FALSE,イベント,'2021年2月27日',キュートプリンセス,キュートアイドルのみ編成時、全員の全アピール値35%アップ,キュートフォーカス,キュートアイドルのみ編成時、6秒毎、中確率でわずかな間、PERFECTのスコア14%アップ、COMBOボーナス11%アップ
しまむらうづき,［White again］島村卯月＋,島村卯月,キュート,非該当,FALSE,Ｓレア＋,10,70,300,6180,3265,3995,39,TRUE,FALSE,イベント,'2021年2月27日',シンデレラチャーム,LIVEクリア時、獲得ファン数が32%アップ,アンコール,18秒毎、中確率でかなりの間、直前に発動した他アイドルの特技効果を繰り返す
いぶさんたくろーす,［WINTER and WINDOW］イヴ・サンタクロース＋,イヴ・サンタクロース,パッション,非該当,FALSE,Ｓレア＋,10,70,300,6175,3987,3276,39,TRUE,FALSE,イベント,'2023年12月20日',トリコロール・アビリティ,3タイプ全てのアイドル編成時、全員の特技発動確率40%アップ,スキルブースト,9秒毎、高確率で少しの間、他アイドルの特技効果を中アップ
たかもりあいこ,［WINTER and WINDOW］高森藍子＋,高森藍子,パッション,非該当,FALSE,Ｓレア＋,10,70,300,6182,3281,3978,39,TRUE,FALSE,イベント,'2023年12月20日',トリコロール・ユニゾン,3タイプ全てのアイドル編成時、全員の全アピール値25%アップ、全タイプ楽曲なら50%アップ,トリコロール・スパイク,全タイプ楽曲で3タイプ全てのアイドル編成時、7秒毎、高確率でライフを18消費し、わずかな間、PERFECTのスコア15%アップ、COMBOボーナス13%アップ
あべなな,［Wish you Happiness！！］安部菜々＋,安部菜々,キュート,非該当,FALSE,Ｓレア＋,10,70,300,6170,3977,3294,39,TRUE,FALSE,イベント,'2021年1月1日',シンデレラチャーム,LIVEクリア時、獲得ファン数が32%アップ,アンコール,15秒毎、中確率でしばらくの間、直前に発動した他アイドルの特技効果を繰り返す
にったみなみ,［Wish you Happiness！！］新田美波＋,新田美波,クール,非該当,FALSE,Ｓレア＋,10,70,300,6166,3985,3293,39,TRUE,FALSE,イベント,'2021年1月1日',トリコロール・アビリティ,3タイプ全てのアイドル編成時、全員の特技発動確率40%アップ,スキルブースト,9秒毎、高確率で少しの間、他アイドルの特技効果を中アップ
いがらしきょうこ,［With Love］五十嵐響子＋,五十嵐響子,キュート,非該当,FALSE,Ｓレア＋,10,70,300,5741,2999,3663,39,TRUE,FALSE,イベント,'2017年5月31日',キュートボイス,キュートアイドルのボーカルアピール値60%アップ,オーバーロード,7秒毎、中確率でライフを11消費し、少しの間PERFECT/GREATのスコア18%アップ、NICE/BADでもCOMBO継続
もろぼしきらり,［With Love］諸星きらり＋,諸星きらり,パッション,非該当,FALSE,Ｓレア＋,10,70,300,4005,3306,6139,39,TRUE,FALSE,イベント,'2017年5月31日',パッションメイク,パッションアイドルのビジュアルアピール値60%アップ,COMBOボーナス,6秒毎、中確率でわずかな間、COMBOボーナス14%アップ
ささきちえ,［Yes！Party Time！！］佐々木千枝＋,佐々木千枝,クール,非該当,FALSE,Ｓレア＋,10,70,300,5729,3671,3010,39,TRUE,FALSE,イベント,'2017年6月19日',クールボイス,クールアイドルのボーカルアピール値60%アップ,SCOREボーナス,4秒毎、高確率で一瞬の間、PERFECTのスコア15%アップ
さくらいももか,［Yes！Party Time！！］櫻井桃華＋,櫻井桃華,キュート,非該当,FALSE,Ｓレア＋,10,70,300,4019,6108,3332,39,TRUE,FALSE,イベント,'2017年6月19日',キュートステップ,キュートアイドルのダンスアピール値60%アップ,COMBOボーナス,6秒毎、中確率でわずかな間、COMBOボーナス14%アップ
よしおかさき,［アーティスティックチアー］吉岡沙紀＋,吉岡沙紀,クール,非該当,FALSE,Ｓレア＋,10,70,300,4422,4406,4500,86,FALSE,FALSE,恒常,'2018年9月11日',クールエナジー,クールアイドルのライフ20%アップ,ライフ回復,10秒毎、高確率でわずかな間、PERFECTでライフ3回復
はまかわあゆな,［アーバンスティード］浜川愛結奈＋,浜川愛結奈,パッション,非該当,FALSE,Ｓレア＋,10,70,300,3861,3189,6007,39,FALSE,FALSE,恒常,'2023年11月13日',パッションメイク,パッションアイドルのビジュアルアピール値60%アップ,コーディネイト,11秒毎、高確率でしばらくの間、PERFECTのスコア8%アップ、COMBOボーナス12%アップ
こばやかわさえ,［あいくるしい］小早川紗枝＋,小早川紗枝,キュート,非該当,FALSE,Ｓレア＋,10,70,300,3340,6040,4013,39,TRUE,FALSE,イベント,'2016年10月31日',キュートステップ,キュートアイドルのダンスアピール値60%アップ,COMBOボーナス,7秒毎、高確率でわずかな間、COMBOボーナス14%アップ
はやみかなで,［あいくるしい］速水奏＋,速水奏,クール,非該当,FALSE,Ｓレア＋,10,70,300,5579,3084,3705,39,TRUE,FALSE,イベント,'2016年10月31日',クールボイス,クールアイドルのボーカルアピール値60%アップ,SCOREボーナス,7秒毎、中確率で少しの間、PERFECTのスコア15%アップ
おおにしゆりこ,［アウトレイジデーモン］大西由里子＋,大西由里子,キュート,非該当,FALSE,Ｓレア＋,10,70,300,3878,3177,6001,39,FALSE,FALSE,恒常,'2020年6月22日',キュートメイク,キュートアイドルのビジュアルアピール値60%アップ,オールラウンド,8秒毎、高確率でわずかな間、COMBOボーナス10%アップ、PERFECTでライフ1回復
さいとうようこ,［アクティブビューティー］斉藤洋子＋,斉藤洋子,パッション,非該当,FALSE,Ｓレア＋,10,70,300,3221,5954,3895,39,FALSE,FALSE,恒常,'2017年5月18日',パッションステップ,パッションアイドルのダンスアピール値60%アップ,PERFECTサポート,11秒毎、高確率でわずかな間、GREAT/NICEをPERFECTにする
えとうみさき,［あたしの磨き方］衛藤美紗希＋,衛藤美紗希,パッション,非該当,FALSE,Ｓレア＋,10,70,300,4104,4880,4233,86,FALSE,FALSE,恒常,'2017年4月9日',パッションエナジー,パッションアイドルのライフ20%アップ,ライフ回復,6秒毎、中確率で一瞬の間、PERFECTでライフ3回復
あべなな,［アタシポンコツアンドロイド］安部菜々＋,安部菜々,キュート,非該当,FALSE,Ｓレア＋,10,70,300,6016,3169,3862,39,TRUE,FALSE,イベント,'2015年9月25日',キュートボイス,キュートアイドルのボーカルアピール値60%アップ,COMBOボーナス,9秒毎、中確率でしばらくの間、COMBOボーナス14%アップ
こひなたみほ,［アタシポンコツアンドロイド］小日向美穂＋,小日向美穂,キュート,非該当,FALSE,Ｓレア＋,10,70,300,3557,5558,2915,39,TRUE,FALSE,イベント,'2015年9月25日',キュートステップ,キュートアイドルのダンスアピール値60%アップ,PERFECTサポート,15秒毎、中確率でしばらくの間、GREAT/NICEをPERFECTにする
せんざきえま,［アタシメイクアップ］仙崎恵磨＋,仙崎恵磨,パッション,非該当,FALSE,Ｓレア＋,10,70,300,2818,5678,3488,39,FALSE,FALSE,イベント,'2022年5月10日',パッションステップ,パッションアイドルのダンスアピール値60%アップ,PERFECTサポート,7秒毎、高確率で一瞬の間、GREAT/NICEをPERFECTにする
せんざきえま,［アッパーテンション］仙崎恵磨＋,仙崎恵磨,パッション,非該当,FALSE,Ｓレア＋,10,70,300,3468,2790,5649,39,FALSE,FALSE,イベント,'2016年9月12日',パッションメイク,パッションアイドルのビジュアルアピール値60%アップ,SCOREボーナス,7秒毎、高確率でわずかな間、PERFECTのスコア15%アップ
つじのあかり,［アップル☆カーニバル］辻野あかり＋,辻野あかり,キュート,非該当,FALSE,Ｓレア＋,10,70,300,4159,4805,4273,39,TRUE,FALSE,イベント,'2020年4月13日',キュートブリリアンス,キュートアイドルの全アピール値30%アップ,COMBOボーナス,9秒毎、高確率で少しの間、COMBOボーナス14%アップ
さわだまりな,［アテンティブチアー］沢田麻理菜＋,沢田麻理菜,パッション,非該当,FALSE,Ｓレア＋,10,70,300,4357,4337,4604,86,FALSE,FALSE,恒常,'2023年2月13日',パッションエナジー,パッションアイドルのライフ20%アップ,ライフ回復,8秒毎、中確率でわずかな間、PERFECTでライフ3回復
うじいえむつみ,［アドベントチアー］氏家むつみ＋,氏家むつみ,クール,非該当,FALSE,Ｓレア＋,10,70,300,5755,2752,3458,39,FALSE,FALSE,イベント,'2020年3月12日',クールボイス,クールアイドルのボーカルアピール値60%アップ,コーディネイト,7秒毎、高確率でわずかな間、PERFECTのスコア8%アップ、COMBOボーナス12%アップ
しのはられい,［アトラクティブレディ］篠原礼＋,篠原礼,クール,非該当,FALSE,Ｓレア＋,10,70,300,5734,3466,2768,39,FALSE,FALSE,イベント,'2018年7月10日',クールボイス,クールアイドルのボーカルアピール値60%アップ,SCOREボーナス,7秒毎、高確率でわずかな間、PERFECTのスコア15%アップ
かみやなお,［アトラクトゴシック］神谷奈緒＋,神谷奈緒,クール,非該当,FALSE,Ｓレア＋,10,70,300,4488,4428,4417,86,TRUE,TRUE,限定,'2017年9月3日',クールアビリティ,クールアイドルの特技発動確率30%アップ,ダメージガード,9秒毎、高確率で少しの間、ライフが減少しなくなる
たかはしれいこ,［アモラス・ロワイヤル］高橋礼子＋,高橋礼子,クール,非該当,FALSE,Ｓレア＋,10,70,300,5993,3869,3197,39,FALSE,FALSE,恒常,'2021年8月22日',クールボイス,クールアイドルのボーカルアピール値60%アップ,コンセントレーション,9秒毎、高確率で少しの間、PERFECTのスコア19%アップ、PERFECT判定される時間が短くなる
